YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2015,40,X,X,X,X,X,X,32,7245,47,0.441684,X
2015,41,X,X,X,X,X,X,40,5477,46,0.730327,X
2015,42,X,X,X,X,X,X,21,6007,46,0.349592,X
2015,43,X,X,X,X,X,X,55,5665,37,0.970874,X
2015,44,X,X,X,X,X,X,24,5625,46,0.426667,X
2015,45,X,X,X,X,X,X,21,5225,45,0.401914,X
2015,46,X,X,X,X,X,X,22,5461,46,0.402857,X
2015,47,X,X,X,X,X,X,7,2676,46,0.261584,X
2015,48,X,X,X,X,X,X,15,5254,46,0.285497,X
2015,49,X,X,X,X,X,X,27,5425,45,0.497696,X
2015,50,X,X,X,X,X,X,19,4855,46,0.391349,X
2015,51,X,X,X,X,X,X,13,2227,46,0.583745,X
2015,52,X,X,X,X,X,X,20,2676,46,0.747384,X
2016,1,X,X,X,X,X,X,25,4511,45,0.554201,X
2016,2,X,X,X,X,X,X,38,4767,45,0.797147,X
2016,3,X,X,X,X,X,X,49,4507,45,1.0872,X
2016,4,X,X,X,X,X,X,56,5500,46,1.01818,X
2016,5,X,X,X,X,X,X,76,5921,47,1.28357,X
2016,6,X,X,X,X,X,X,93,5223,45,1.78059,X
2016,7,X,X,X,X,X,X,120,5100,44,2.35294,X
2016,8,X,X,X,X,X,X,127,6023,45,2.10858,X
2016,9,X,X,X,X,X,X,87,5236,36,1.66157,X
2016,10,X,X,X,X,X,X,75,5272,35,1.42261,X
2016,11,X,X,X,X,X,X,44,3809,35,1.15516,X
2016,12,X,X,X,X,X,X,71,3926,36,1.80846,X
2016,13,X,X,X,X,X,X,66,5263,35,1.25404,X
2016,14,X,X,X,X,X,X,57,4839,35,1.17793,X
2016,15,X,X,X,X,X,X,42,4681,33,0.897244,X
2016,16,X,X,X,X,X,X,22,4696,31,0.468484,X
2016,17,X,X,X,X,X,X,31,4744,32,0.653457,X
2016,18,X,X,X,X,X,X,20,2359,26,0.847817,X
2016,19,X,X,X,X,X,X,16,4102,31,0.390054,X
2016,20,X,X,X,X,X,X,15,3962,31,0.378597,X
2016,21,X,X,X,X,X,X,8,2825,25,0.283186,X
2016,22,X,X,X,X,X,X,8,2674,24,0.299177,X
2016,23,X,X,X,X,X,X,13,3250,24,0.4,X
2016,24,X,X,X,X,X,X,8,2432,24,0.328947,X
2016,25,X,X,X,X,X,X,6,2611,20,0.229797,X
2016,26,X,X,X,X,X,X,5,2808,24,0.178063,X
2016,27,X,X,X,X,X,X,6,2426,25,0.247321,X
2016,28,X,X,X,X,X,X,7,2924,24,0.239398,X
2016,29,X,X,X,X,X,X,5,2822,24,0.177179,X
2016,30,X,X,X,X,X,X,6,2719,24,0.220669,X
2016,31,X,X,X,X,X,X,3,2525,24,0.118812,X
2016,32,X,X,X,X,X,X,3,2707,24,0.110824,X
2016,33,X,X,X,X,X,X,4,3223,25,0.124108,X
2016,34,X,X,X,X,X,X,5,3579,35,0.139704,X
2016,35,X,X,X,X,X,X,2,2785,35,0.0718133,X
2016,36,X,X,X,X,X,X,4,1830,30,0.218579,X
2016,37,X,X,X,X,X,X,6,2026,29,0.29615,X
2016,38,X,X,X,X,X,X,7,3898,22,0.179579,X
2016,39,X,X,X,X,X,X,7,2672,30,0.261976,X
